ID,Name,Address,Zip,Date,Result
4840,Croutons,"655 Reitz Union Drive, Room 1400",32611,3/21/17,Satisfactory
9551,Delish at U of F East Campus,2046 NE Waldo Road,32609,1/26/17,Satisfactory
4205,Delish at U of F East Campus,2046 NE Waldo Road,32609,11/22/16,Satisfactory
9536,Delta Chi Fraternity  Inc.,725 Fraternity Drive Number 6,32603,9/19/16,Satisfactory
2220,Delta Chi Fraternity  Inc.,725 Fraternity Drive Number 6,32603,11/29/16,Satisfactory
3490,Delta Chi Fraternity  Inc.,725 Fraternity Drive Number 6,32603,4/11/16,Satisfactory
1732,Delta Delta Delta,1134 E Panhellenic Drive,32601,9/13/16,Satisfactory
2227,Delta Delta Delta,1134 E Panhellenic Drive,32601,1/11/17,Satisfactory
8334,Delta Gamma Sorority,808 W Panhellenic Drive,32601,9/27/16,Satisfactory
4208,Delta Gamma Sorority,808 W Panhellenic Drive,32601,1/13/17,Satisfactory
7504,Delta Phi Epsilon,1115 SW 9th Avenue,32601,9/27/16,Satisfactory
7495,Delta Phi Epsilon,1115 SW 9th Avenue,32601,12/7/16,Satisfactory
8142,Delta Tau Delta Fraternity,1926 W University Avenue,32603,4/13/16,Satisfactory
4972,Delta Tau Delta Fraternity,1926 W University Avenue,32603,9/29/16,Satisfactory
9182,Delta Tau Delta Fraternity,1926 W University Avenue,32603,1/20/17,Satisfactory
6792,Delta Zeta Sorority,903 SW 13th Street,32601,9/27/16,Satisfactory
3678,Delta Zeta Sorority,903 SW 13th Street,32601,1/17/17,Satisfactory
4236,"Dirty Bar, LLC","2441 NW 43rd Street, Suite 26B",32606,9/30/16,Satisfactory
6660,"Domino's Pizza-SWF Operations, LLC","3000 NW 83rd Street, Building R Room 101",32606,8/3/16,Satisfactory
1890,"Domino's Pizza-SWF Operations, LLC","3000 NW 83rd Street, Building R Room 101",32606,11/8/16,Satisfactory
5660,"Domino's Pizza-SWF Operations, LLC","3000 NW 83rd Street, Building R Room 101",32606,1/18/17,Satisfactory
6314,Donald R Dizney Stadium,PO Box 14485,32604,9/21/16,Satisfactory
